imo_code,name,definition,format
IMO0001,Agent city,The city of the referenced agent at port.,an..35
IMO0002,Agent contact family name,The agent's employee contact family name.,an..70
IMO0003,Agent country code,A code representing the country address of the referenced agent at port.,a2
IMO0004,Agent country sub-division name,The country sub-division of the referenced agent at port.,an..35
IMO0006,Agent email,The email address for the referenced agent at port.,an..50
IMO0007,Agent identification number,The recognized identification number used by the ship’s agent at the port of notification.,an..17
IMO0008,Agent landline number,The landline telephone number for the referenced agent at port.,an..50
IMO0009,Agent mobile number,The mobile number for the referenced agent at port.,an..50
IMO0010,Agent name,The name of the agent at the port of arrival.,an..70
IMO0011,Agent postcode,An alphanumerical code representing the postal area of the referenced agent at port.,an..9
IMO0012,Agent street and number,The street and number of the referenced agent at port.,an..256
IMO0013,Arrival/departure code,A code in the message to show whether the information is submitted for the ship arrival or departure.,a1
IMO0014,Authentication date time,The date and time of authentication.,an..35
IMO0015,Authenticator location,The location of the person when submitting the security-related information.,an..17
IMO0016,Authenticator family name,The family name of the person attesting to the validity of the transmitted information.,an..70
IMO0017,Authenticator party identification number,"An identifying number, such as an agent identifier, of the party attesting to the validity of the transmitted information.",an..17
IMO0019,Cargo brief description,A description of the type of cargo carried on the ship in general terms.,an..256
IMO0021,Transport equipment identification number,"Marks (letters and/or numbers) which identify a transport equipment (e.g. containers, semi-trailers, swap bodies).",an..17
IMO0022,Cargo item description of goods,A description of the referenced packaged cargo.,an..256
IMO0023,Cargo item gross volume,"A measure of the gross volume, normally calculated by multiplying the maximum length, width and height of the cargo item.","n..16,6"
IMO0024,Cargo item gross weight,The combined weight or mass of the referenced packaged cargo and its packaging from the shipping data.,"n..16,6"
IMO0025,Cargo item HS code,"The standardized, international commodity code from the Harmonized Commodity Description and Coding System (HS) for the packaged cargo being reported.",an..18
IMO0026,Cargo item marks and numbers,An alphanumeric or symbolic identifier assigned by the shipper as a means to track cargo not carried in bulk.,an..512
IMO0028,Cargo item number of packages,A count of the type of package reported for the referenced cargo.,n..8
IMO0029,"Cargo item package type, coded",A code representing the type of package used for the referenced cargo.,an..2
IMO0031,IMO Company number,The unique company identification number shown in the Continuous Synopsis Record (CSR).,an..17
IMO0032,Ship company name,The name of the Company.,an..70
IMO0033,Company security officer email,The contact email address for the company security officer shown in the ship security plan.,an..50
IMO0034,Company security officer landline number,The contact landline number for the company security officer shown in the ship security plan.,an..50
IMO0035,Company security officer mobile number,The contact mobile number for the company security officer shown in the ship security plan.,an..50
IMO0036,Company security officer family name,The family name of the company security officer shown in the ship security plan.,an..70
IMO0037,"Crew effects description, coded",A code representing the type of the referenced crew’s effects.,an..3
IMO0039,Crew effects onboard quantity,The quantity or count of the type of the referenced crew’s effects.,"n..16,6"
IMO0040,Crew effects description,A description of the type of the referenced crew’s effects.,an..256
IMO0041,Crew effects sequence number,A sequence number indicating the order of the referenced crew’s effects in a list.,n..5
IMO0042,Crewmember rank or rating name,The description of the referenced crewmember's rank or rating on the ship.,an..70
IMO0043,"Crewmember rank or rating, coded",A code representing the referenced crewmember's rank or rating on the ship.,an..5
IMO0044,Person onboard sequence number,A sequence number indicating the order of the referenced person in the person onboard list.,n..5
IMO0045,Stowage position onboard,The position or place where goods such as dangerous goods are stored onboard the ship.,an..35
IMO0046,Dangerous goods carried indicator,"A ""yes/no"" indicator whether the ship is carrying any dangerous goods.",n1
IMO0047,Dangerous goods EmS number,The emergency schedule identified in the IMO EmS Guide – Emergency Response Procedures for Ships Carrying Dangerous Goods.,an..6
IMO0048,Dangerous goods flashpoint,The flashpoint of the referenced dangerous goods according to the IMO IMDG Code expressed in degrees Celsius or Fahrenheit.,"n..8,2"
IMO0049,"Dangerous goods hazard class, coded",The hazard class code of the referenced dangerous goods according to the specified regulation.,an..7
IMO0051,"Dangerous goods marine pollutant type, coded",A code representing the type of marine pollutant properties for the referenced dangerous goods from the IMO IMDG Code or IBC Code / MARPOL Convention.,an..3
IMO0052,Dangerous goods mass,The mass of the referenced dangerous goods.,"n..16,6"
IMO0053,Dangerous goods number of packages,The count of the number of packages of the referenced dangerous goods.,n..8
IMO0054,Dangerous goods packing group,The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code.,an..3
IMO0055,Dangerous goods proper shipping name,"The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code, or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to the MARPOL Convention.",an..256
IMO0056,Dangerous goods shipper's reference number,A number assigned by the shipper to track the referenced dangerous goods.,an..70
IMO0058,"Dangerous goods subsidiary risks, coded",Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.,an..4
